"","circ_id","mmu1","mmu2","mmu3"
"407","10:111811389|111818962",NA,NA,4
"408","10:113579568|113579950",NA,2,NA
"409","10:115065029|115069163",NA,NA,4
"410","10:115242257|115242803",2,NA,12
"411","10:116333990|116335371",NA,2,3
"412","10:116353221|116385080",10,3,25
"413","10:116363731|116385010",NA,NA,6
"414","10:116363731|116385080",5,NA,3
"415","10:116760003|116760181",3,NA,NA
"416","10:116773301|116775386",NA,3,8
"417","10:117185215|117196460",3,NA,NA
"418","10:117191839|117203893",NA,2,10
"419","10:117201985|117203893",NA,NA,4
"420","10:117528486|117530973",9,4,8
"421","10:117653248|117654514",NA,2,11
"422","10:117656366|117658774",NA,2,NA
"423","10:119925312|119928593",NA,NA,6
"424","10:120767625|120767934",NA,NA,2
"425","10:121207048|121217196",NA,NA,2
"426","10:121387155|121387498",4,NA,NA
"427","10:121587331|121588070",NA,NA,2
"428","10:122556878|122647464",NA,NA,2
"429","10:122692966|122756750",4,NA,NA
"430","10:122739996|122756750",NA,2,13
"431","10:12277054|12282338",NA,2,NA
"432","10:12312024|12323836",NA,NA,3
"433","10:12312024|12331308",NA,2,12
"434","10:12317679|12362398",NA,NA,8
"435","10:123298051|123298415",NA,NA,3
"436","10:12588997|12603656",NA,NA,4
"437","10:12619362|12619514",5,NA,NA
"438","10:126864233|126865551",NA,NA,2
"439","10:127041543|127042579",NA,NA,3
"440","10:127132220|127132813",2,NA,NA
"441","10:127145872|127146403",NA,NA,5
"442","10:127294678|127300882",NA,NA,2
"443","10:127482759|127484058",NA,2,5
"444","10:127920959|127922289",NA,NA,3
"445","10:127957668|127957849",3,NA,NA
"446","10:128078178|128078587",4,NA,NA
"447","10:128113512|128114686",2,NA,12
"448","10:128194202|128194402",2,NA,NA
"449","10:128225116|128225432",NA,NA,2
"450","10:128324838|128325113",2,NA,NA
"451","10:128413968|128414961",6,4,12
"452","10:128415364|128417972",NA,3,NA
"453","10:12885058|12885292",NA,NA,2
"454","10:13100527|13129623",3,NA,NA
"455","10:14559807|14563452",NA,NA,2
"456","10:17693883|17694110",3,NA,NA
"457","10:17965195|17972084",NA,NA,5
"458","10:17968592|17970656",NA,NA,3
"459","10:18789767|18790030",NA,3,NA
"460","10:19762805|19770548",NA,3,NA
"461","10:19932220|19934836",NA,3,NA
"462","10:19943574|19958214",NA,3,NA
"463","10:19970107|19975943",4,NA,NA
