"","circ_id","mmu1","mmu2","mmu3"
"286","1:39428388|39431335",NA,NA,1
"287","1:39428388|39442004",2,NA,5
"288","1:39430197|39431335",5,NA,NA
"289","1:39433145|39442004",NA,NA,3
"290","1:39441763|39445951",NA,3,NA
"291","1:39594558|39604413",2,1,2
"292","1:39599773|39604413",NA,NA,6
"293","1:39603128|39604413",NA,NA,17
"294","1:40013086|40029459",NA,NA,5
"295","1:40049837|40050155",NA,NA,1
"296","1:40382187|40385037",2,NA,NA
"297","1:40639929|40642230",2,1,NA
"298","1:40639929|40651444",NA,NA,4
"299","1:40642012|40649547",2,1,NA
"300","1:42926866|42938709",NA,NA,6
"301","1:43106633|43115112",2,NA,2
"302","1:43548780|43572953",8,NA,7
"303","1:43829623|43846537",1,NA,NA
"304","1:43996595|44011847",NA,NA,2
"305","1:44200969|44203244",NA,NA,1
"306","1:44793502|44820266",NA,2,NA
"307","1:4909609|4911355",NA,NA,3
"308","1:5159231|5168356",10,NA,12
"309","1:5159231|5171346",14,9,31
"310","1:5159231|5187710",NA,NA,3
"311","1:5159231|5194692",NA,2,NA
"312","1:5165837|5171346",NA,1,24
"313","1:5165837|5214074",NA,NA,2
"314","1:5187612|5194692",NA,NA,1
"315","1:52235323|52251525",NA,NA,4
"316","1:52251361|52254853",NA,NA,2
"317","1:52518396|52529914",NA,NA,20
"318","1:52747322|52748914",NA,4,25
"319","1:53295787|53321251",NA,3,11
"320","1:53295787|53329582",NA,NA,2
"321","1:54467920|54473397",NA,NA,4
"322","1:54762172|54769033",1,NA,NA
"323","1:54802803|54806143",5,NA,NA
"324","1:55100433|55106757",2,NA,NA
"325","1:55120231|55123944",NA,NA,8
"326","1:55122225|55126100",NA,NA,1
"327","1:55122883|55123944",2,4,1
"328","1:55175835|55187793",NA,NA,4
"329","1:55243341|55245774",NA,1,NA
"330","1:55339245|55394898",NA,NA,2
"331","1:55379631|55388094",1,NA,2
"332","1:55379631|55394898",NA,3,NA
"333","1:55741088|55754762",NA,NA,1
"334","1:57838463|57925108",NA,NA,1
"335","1:58451805|58453660",NA,NA,2
"336","1:58456171|58456542",12,5,16
"337","1:58458825|58461093",NA,NA,2
"338","1:58578717|58596532",NA,NA,3
