"gene_name","hsa","mfu","mma","mmu","mpi","rsi","n_species"
"novel_gene_1946_5d71f2e7",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"GRAP2",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
"IRAK3",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,2
"NUP107",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"CNOT2",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
"TAB1",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
"ZFC3H1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"TBC1D15",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3
"BRD1",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
"GTPBP1",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
"OSBPL8",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
"DDX17",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
"ZDHHC17",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"NAV3",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
"TPTEP2-CSNK1E",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
"TMEM184B",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"PAWR",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"PICK1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"PPP1R12A",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
"POLR2F",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"ACSS3",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"EIF3L",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
"TMTC2",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"MFNG",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"TMTC3",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"KITLG",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"POC1B",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3
"ATP2B1",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
"EEA1",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,4
"NUDT4",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"PLXNC1",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
"MYH9",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3
"NDUFA9",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"PARP11",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"CRACR2A",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"TULP3",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"ITFG2",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"DDX11",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"WASHC1",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"KDM5A",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3
"CCDC77",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
"WNK1",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
"WNT5B",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
"DCP1B",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"SPATA13",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,3
"MTMR6",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"NUP58",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
"USP12",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"LNX2",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
"PAN3",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,4
"TTC33",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"PLCXD3",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
"OXCT1",FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2
"ZNF131",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,1
