"gene_id","gene_name"
"ENSMFUG00017087600004","novel_gene_1129_5d71f2e7"
"ENSMFUG00017064300004","novel_gene_597_5d71f2e7"
"ENSMFUG00017009300004","novel_gene_1782_5d71f2e7"
"ENSMFUG00017081700004","novel_gene_1036_5d71f2e7"
"ENSMFUG00017071000004","novel_gene_783_5d71f2e7"
"ENSMFUG00017084200004","novel_gene_1082_5d71f2e7"
"ENSMFUG00017020900004","novel_gene_168_5d71f2e7"
"ENSMFUG00017067000004","novel_gene_1864_5d71f2e7"
"ENSMFUG00017099300004","novel_gene_1911_5d71f2e7"
"ENSMFUG00034000200054","novel_gene_2799_5d71f2e7"
"ENSMFUG00034004200004","novel_gene_2821_5d71f2e7"
"ENSMFUG00034005600004","novel_gene_2830_5d71f2e7"
"ENSMFUG00034007700034","novel_gene_2840_5d71f2e7"
"ENSMFUG00034001600244","novel_gene_2885_5d71f2e7"
"ENSMFUG00034003100084","novel_gene_2874_5d71f2e7"
"ENSMFUG00034001500134","novel_gene_2880_5d71f2e7"
"ENSMFUG00034001000004","novel_gene_2801_5d71f2e7"
"ENSMFUG00034008400004","novel_gene_2847_5d71f2e7"
"ENSMFUG00034004100004","novel_gene_2820_5d71f2e7"
"ENSMFUG00034009500004","novel_gene_2853_5d71f2e7"
"ENSMFUG00034008200094","novel_gene_2895_5d71f2e7"
"ENSMFUG00034001400004","novel_gene_2802_5d71f2e7"
"ENSMFUG00034009600004","novel_gene_2854_5d71f2e7"
"ENSMFUG00034007500004","novel_gene_2793_5d71f2e7"
"ENSMFUG00034002200004","novel_gene_2806_5d71f2e7"
"ENSMFUG00034001800244","novel_gene_537_5d769ab4"
"ENSMFUG00034002400004","novel_gene_2809_5d71f2e7"
"ENSMFUG00034006000054","novel_gene_2796_5d71f2e7"
"ENSMFUG00034006700174","novel_gene_2837_5d71f2e7"
"ENSMFUG00034003800004","novel_gene_2817_5d71f2e7"
"ENSMFUG00034002100004","novel_gene_2804_5d71f2e7"
"ENSMFUG00034005700004","novel_gene_2797_5d71f2e7"
"ENSMFUG00034002300004","novel_gene_2808_5d71f2e7"
"ENSMFUG00034002000004","novel_gene_2803_5d71f2e7"
"ENSMFUG00018023000164","novel_gene_711_5d71f2e7"
"ENSMFUG00018011200004","novel_gene_367_5d71f2e7"
"ENSMFUG00018020500244","novel_gene_227_5d846b90"
"ENSMFUG00018025800244","novel_gene_208_5d769ab4"
"ENSMFUG00018001100004","novel_gene_22_5d71f2e7"
"ENSMFUG00018021300004","novel_gene_685_5d71f2e7"
"ENSMFUG00018000800244","novel_gene_211_5d769ab4"
"ENSMFUG00018022600034","novel_gene_701_5d71f2e7"
"ENSMFUG00018016200004","novel_gene_1033_5d71f2e7"
"ENSMFUG00018004900004","novel_gene_198_5d71f2e7"
"ENSMFUG00018000700244","novel_gene_203_5d846b90"
"ENSMFUG00018023200004","novel_gene_792_5d71f2e7"
"ENSMFUG00018012400244","novel_gene_188_5d846b90"
"ENSMFUG00018020800004","novel_gene_672_5d71f2e7"
"ENSMFUG00018013500094","novel_gene_431_5d71f2e7"
"ENSMFUG00018012800004","novel_gene_419_5d71f2e7"
"ENSMFUG00018002500244","novel_gene_188_5d769ab4"
"ENSMFUG00018004100044","novel_gene_174_5d71f2e7"
"ENSMFUG00018012500244","novel_gene_196_5d769ab4"
"ENSMFUG00018016700004","novel_gene_528_5d71f2e7"
"ENSMFUG00018020600244","novel_gene_239_5d769ab4"
"ENSMFUG00018007100004","novel_gene_262_5d71f2e7"
"ENSMFUG00018005900244","novel_gene_192_5d769ab4"
"ENSMFUG00018019900004","novel_gene_622_5d71f2e7"
"ENSMFUG00018014900004","novel_gene_457_5d71f2e7"
"ENSMFUG00018006700004","novel_gene_257_5d71f2e7"
"ENSMFUG00018000900244","novel_gene_940_5d71f2e7"
"ENSMFUG00018001200004","novel_gene_32_5d71f2e7"
"ENSMFUG00018002600244","novel_gene_832_5d71f2e7"
"ENSMFUG00018000600004","novel_gene_15_5d71f2e7"
"ENSMFUG00018019200174","novel_gene_931_5d71f2e7"
"ENSMFUG00018015500004","novel_gene_782_5d71f2e7"
"ENSMFUG00018010200244","novel_gene_195_5d769ab4"
"ENSMFUG00018019800004","novel_gene_611_5d71f2e7"
"ENSMFUG00018005300014","novel_gene_213_5d71f2e7"
"ENSMFUG00018007200004","novel_gene_263_5d71f2e7"
