"gene_id","gene_name"
"ENSMPIG00012053600244","novel_gene_1883_627a1eab"
"ENSMPIG00012058000244","novel_gene_1898_627a1eab"
"ENSMPIG00012005500244","novel_gene_19_62831269"
"ENSMPIG00012051100244","novel_gene_1873_627a1eab"
"ENSMPIG00012057000244","novel_gene_149_62831269"
"ENSMPIG00039000400214","novel_gene_542_62831269"
"ENSMPIG00039000500224","novel_gene_2408_627a1eab"
"ENSMPIG00039001300234","novel_gene_2413_627a1eab"
"ENSMPIG00021068900244","novel_gene_439_62831269"
"ENSMPIG00021052700244","novel_gene_372_62831269"
"ENSMPIG00021060000234","novel_gene_2002_627a1eab"
"ENSMPIG00021056700244","novel_gene_435_62831269"
"ENSMPIG00023046400034","novel_gene_1402_627a1eab"
"ENSMPIG00023037900244","novel_gene_1296_627a1eab"
"ENSMPIG00023034400074","novel_gene_1236_627a1eab"
"ENSMPIG00023035400244","novel_gene_506_627a1eab"
"ENSMPIG00074000100114","novel_gene_2494_627a1eab"
"ENSMPIG00038001500244","novel_gene_2404_627a1eab"
"ENSMPIG00038001000174","novel_gene_2403_627a1eab"
"ENSMPIG00017005108243","novel_gene_33_627a1eab"
"ENSMPIG00017007800244","novel_gene_1915_627a1eab"
"ENSMPIG00017047101083","novel_gene_430_62831269"
"ENSMPIG00017003700174","novel_gene_533_627a1eab"
"ENSMPIG00017035300244","novel_gene_425_62831269"
"ENSMPIG00017038101243","novel_gene_1047_627a1eab"
"ENSMPIG00017045500244","novel_gene_78_62831269"
"ENSMPIG00017038200014","novel_gene_1051_627a1eab"
"ENSMPIG00017044600244","novel_gene_74_62831269"
"ENSMPIG00017002500034","novel_gene_499_627a1eab"
"ENSMPIG00017043700244","novel_gene_178_627a1eab"
"ENSMPIG00017005000244","novel_gene_13_62831269"
"ENSMPIG00017003600174","novel_gene_530_627a1eab"
"ENSMPIG00017039400244","novel_gene_1964_627a1eab"
"ENSMPIG00017036000164","novel_gene_993_627a1eab"
"ENSMPIG00017047000084","novel_gene_1981_627a1eab"
"ENSMPIG00017043800244","novel_gene_72_62831269"
"ENSMPIG00017067300104","novel_gene_1367_627a1eab"
"ENSMPIG00017001400244","novel_gene_3_627a1eab"
"ENSMPIG00009052600014","novel_gene_634_627a1eab"
"ENSMPIG00009047300244","novel_gene_287_62831269"
"ENSMPIG00009023500084","novel_gene_302_627a1eab"
"ENSMPIG00009009902241","novel_gene_904_627a1eab"
"ENSMPIG00009041600244","novel_gene_286_62831269"
"ENSMPIG00009037400234","novel_gene_859_627a1eab"
"ENSMPIG00009010000244","novel_gene_271_62831269"
"ENSMPIG00009014300244","novel_gene_273_62831269"
"ENSMPIG00009012000244","novel_gene_805_627a1eab"
"ENSMPIG00009024000244","novel_gene_240_62831269"
"ENSMPIG00009008500244","novel_gene_226_62831269"
"ENSMPIG00009010200244","novel_gene_272_62831269"
"ENSMPIG00009011900244","novel_gene_228_62831269"
"ENSMPIG00009008600244","novel_gene_795_627a1eab"
"ENSMPIG00009018100164","novel_gene_926_627a1eab"
"ENSMPIG00009019800244","novel_gene_931_627a1eab"
"ENSMPIG00009051800244","novel_gene_289_62831269"
"ENSMPIG00009035900244","novel_gene_284_62831269"
"ENSMPIG00009012900244","novel_gene_807_627a1eab"
"ENSMPIG00009015500244","novel_gene_230_62831269"
"ENSMPIG00009026200244","novel_gene_836_627a1eab"
"ENSMPIG00048000300244","novel_gene_548_62831269"
"ENSMPIG00031012701173","novel_gene_1219_627a1eab"
"ENSMPIG00027020200244","novel_gene_843_627a1eab"
"ENSMPIG00027019900244","novel_gene_63_62831269"
"ENSMPIG00027020400054","novel_gene_691_627a1eab"
"ENSMPIG00027021900214","novel_gene_242_62831269"
"ENSMPIG00014011500244","novel_gene_366_62831269"
"ENSMPIG00014028300244","novel_gene_732_627a1eab"
"ENSMPIG00014029200244","novel_gene_1763_627a1eab"
"ENSMPIG00014048200244","novel_gene_1829_627a1eab"
"ENSMPIG00014034400014","novel_gene_887_627a1eab"
"ENSMPIG00014036600244","novel_gene_336_62831269"
"ENSMPIG00014011400244","novel_gene_1689_627a1eab"
"ENSMPIG00014057200244","novel_gene_353_62831269"
"ENSMPIG00014015600244","novel_gene_369_62831269"
"ENSMPIG00014019600174","novel_gene_561_627a1eab"
"ENSMPIG00014013201243","novel_gene_1702_627a1eab"
"ENSMPIG00014015100244","novel_gene_327_62831269"
"ENSMPIG00014029300244","novel_gene_376_62831269"
