"gene_id","circ_mpi1","circ_mpi2","circ_mpi3","mpi1","mpi2","mpi3"
"ENSMPIG00018029124243",19,35,12,1462,2526,2548
"ENSMPIG00018032323243",16,225,244,6932,6537,7322
"ENSMPIG00019000321243",5,2,5,11576,11631,14593
"ENSMPIG00019013816243",15,3,6,2109,2447,2701
"ENSMPIG00019022924241",1,4,4,623,684,828
"ENSMPIG00019024622243",9,10,28,291,229,247
"ENSMPIG00019029100244",9,1,6,0,0,0
"ENSMPIG00019032800104",23,8,10,20,11,16
"ENSMPIG00019033224241",5,7,3,46,44,52
"ENSMPIG00019034700244",74,75,27,0,0,0
"ENSMPIG00019034802243",74,75,27,0,0,0
"ENSMPIG00019052023243",7,12,2,1800,1499,858
"ENSMPIG00019060524241",42,14,35,353,275,341
"ENSMPIG00019064023243",20,29,20,1469,1764,1553
"ENSMPIG00019069318243",5,6,1,1775,1567,1680
"ENSMPIG00019070724241",6,15,7,351,339,314
"ENSMPIG00019072924241",7,15,34,1670,1529,1189
"ENSMPIG00019073323233",39,34,55,443,390,405
"ENSMPIG00019075315243",138,119,33,4,0,6
"ENSMPIG00020002824241",43,25,45,2130,2166,1821
"ENSMPIG00020003122243",9,4,2,1101,1409,838
"ENSMPIG00020004723233",130,152,107,373,473,432
"ENSMPIG00020009224241",19,8,4,2308,2971,1761
"ENSMPIG00020022601243",12,12,5,2191,3262,2659
"ENSMPIG00020027000244",14,16,23,0,0,0
"ENSMPIG00020027100244",14,16,23,0,0,0
"ENSMPIG00021010220233",41,13,34,995,698,737
"ENSMPIG00021010623243",9,13,26,1887,1446,1828
"ENSMPIG00021013924241",12,3,14,6701,6645,6823
"ENSMPIG00021019118243",29,25,12,3602,5332,3089
"ENSMPIG00021033124241",7,5,7,7655,6236,3969
"ENSMPIG00021049423233",8,33,22,2359,1524,2030
"ENSMPIG00021052500244",11,22,18,0,0,0
"ENSMPIG00021052700244",11,22,18,0,0,0
"ENSMPIG00021053224241",3,3,7,1416,1744,1471
"ENSMPIG00021055724241",2,6,10,6664,6197,5901
"ENSMPIG00021059421243",7,8,5,1107,1460,1269
"ENSMPIG00021066523233",34,59,92,944,996,849
"ENSMPIG00021069923243",38,13,31,1383,1167,957
"ENSMPIG00021073324241",11,6,1,2318,2120,1516
"ENSMPIG00021076424241",19,6,16,1283,1806,1494
