"","circ_id","mpi1","mpi2","mpi3"
"211","scaffold0001:161705220|161708706","7.000","6.000","2.000"
"212","scaffold0001:161757436|161758806","3.000","22.000","3.000"
"213","scaffold0001:161757436|161760484","15.000","159.000","50.000"
"214","scaffold0001:161757436|161762892","7.000","1.000","5.000"
"215","scaffold0001:161757436|161766403","2.000","6.000","3.000"
"216","scaffold0001:161798395|161804345","16.000","32.000","9.000"
"217","scaffold0001:161799928|161804345","53.000","64.000","41.000"
"218","scaffold0001:162676538|162677887","3.000","4.000","6.000"
"219","scaffold0001:162978690|162979774","16.000","20.000","11.000"
"220","scaffold0001:16303594|16306413","22.000","22.000","15.000"
"221","scaffold0001:163333174|163333491","10.000","20.000","21.000"
"222","scaffold0001:163451434|163458660","2.000","17.000","24.000"
"223","scaffold0001:163586190|163586949","10.000","12.000","12.000"
"224","scaffold0001:165892693|165924778","7.000","12.000","6.000"
"225","scaffold0001:17070199|17079951","10.000","13.000","7.000"
"226","scaffold0001:17837041|17840087","3.000","8.000","6.000"
"227","scaffold0001:17837041|17864064","129.000","284.000","131.000"
"228","scaffold0001:17837041|17864079","1.000","4.000","1.000"
"229","scaffold0001:18267806|18274130","1.000","6.000","4.000"
"230","scaffold0001:18277056|18277881","1.000","9.000","13.000"
"231","scaffold0001:18287215|18295139","2.000","4.000","15.000"
"232","scaffold0001:18287215|18302982","10.000","9.000","8.000"
"233","scaffold0001:18293792|18302982","5.000","4.000","1.000"
"234","scaffold0001:18307507|18314052","7.000","13.000","6.000"
"235","scaffold0001:18342967|18343980","2.000","6.000","4.000"
"236","scaffold0001:18349451|18359604","51.000","3.000","6.000"
"237","scaffold0001:18349451|18366856","3.000","11.000","3.000"
"238","scaffold0001:18396655|18399791","16.000","177.000","138.000"
"239","scaffold0001:18485335|18492615","5.000","28.000","9.000"
"240","scaffold0001:18489190|18492615","132.000","148.000","123.000"
"241","scaffold0001:1907101|1915784","1.000","4.000","1.000"
"242","scaffold0001:19784223|19791491","63.000","54.000","38.000"
"243","scaffold0001:19784223|19793616","29.000","3.000","9.000"
"244","scaffold0001:1980571|1981351","89.000","72.000","37.000"
"245","scaffold0001:19986563|19989213","1.000","4.000","1.000"
"246","scaffold0001:19986563|19992984","2.000","1.000","2.000"
"247","scaffold0001:22259133|22285255","1.000","2.000","6.000"
"248","scaffold0001:3305117|3320763","1.000","5.000","3.000"
"249","scaffold0001:33564409|33567314","7.000","7.000","3.000"
"250","scaffold0001:33564409|33586561","1.000","4.000","15.000"
"251","scaffold0001:3432964|3433301","3.000","25.000","6.000"
"252","scaffold0001:357530|362767","21.000","30.000","57.000"
"253","scaffold0001:3724154|3724548","5.000","2.000","4.000"
"254","scaffold0001:3842989|3843710","7.000","3.000","5.000"
"255","scaffold0001:41501051|41501334","57.000","113.000","99.000"
"256","scaffold0001:41501051|41509720","9.000","33.000","17.000"
"257","scaffold0001:41718818|41739363","5.000","7.000","3.000"
"258","scaffold0001:41718818|41743422","20.000","23.000","21.000"
"259","scaffold0001:41733236|41739363","4.000","6.000","7.000"
"260","scaffold0001:41733236|41743422","2.000","1.000","1.000"
"261","scaffold0001:41776339|41777007","14.000","5.000","26.000"
"262","scaffold0001:41776339|41778810","14.000","10.000","4.000"
"263","scaffold0001:41777963|41778810","2.000","5.000","2.000"
"264","scaffold0001:41777963|41786392","6.000","7.000","2.000"
"265","scaffold0001:42012013|42021660","6.000","17.000","7.000"
"266","scaffold0001:42124302|42130785","3.000","4.000","7.000"
"267","scaffold0001:42203863|42219201","7.000","11.000","6.000"
"268","scaffold0001:4223480|4229941","4.000","2.000","1.000"
"269","scaffold0001:42276419|42328921","4.000","1.000","14.000"
"270","scaffold0001:42296697|42314870","21.000","5.000","4.000"
"271","scaffold0001:42296697|42328921","69.000","66.000","54.000"
