"","circ_id","hsa1","hsa2","hsa3"
"320","1:228804639|228804912","2.000",NA,NA
"321","1:22888923|22889058",NA,"1.000",NA
"322","1:229301148|229301340","1.000",NA,NA
"323","1:2294125|2294368",NA,NA,"2.000"
"324","1:229514048|229514384",NA,"6.000",NA
"325","1:229728659|229728889",NA,NA,"6.000"
"326","1:230012490|230012777","3.000",NA,NA
"327","1:23030468|23040434",NA,"1.000",NA
"328","1:23030468|23044486",NA,"9.000",NA
"329","1:23030468|23050520",NA,"14.000","2.000"
"330","1:23071224|23072197",NA,"2.000",NA
"331","1:230943805|230961303",NA,"3.000",NA
"332","1:230954332|230961303",NA,"7.000","3.000"
"333","1:231370561|231374099",NA,"5.000",NA
"334","1:231537212|231542611",NA,"3.000",NA
"335","1:231696128|231696339",NA,"4.000",NA
"336","1:231795241|231818517",NA,"9.000",NA
"337","1:231818328|231818517",NA,"8.000",NA
"338","1:232637975|232638128",NA,NA,"3.000"
"339","1:232875793|232875979",NA,"3.000",NA
"340","1:233277051|233277191","2.000",NA,NA
"341","1:233892845|233893129",NA,NA,"2.000"
"342","1:233999146|233999322",NA,NA,"1.000"
"343","1:23407068|23407251",NA,NA,"6.000"
"344","1:23408663|23419139",NA,"3.000",NA
"345","1:234091268|234091410",NA,"2.000",NA
"346","1:235180290|235180852",NA,NA,"2.000"
"347","1:235194012|235214026","1.000",NA,NA
"348","1:235434203|235437474",NA,"5.000",NA
"349","1:235438768|235442911",NA,"1.000",NA
"350","1:235535865|235536025",NA,"3.000",NA
"351","1:235720689|235720866",NA,NA,"1.000"
"352","1:236164029|236164171",NA,NA,"2.000"
"353","1:236176783|236177024",NA,NA,"1.000"
"354","1:236803427|236806233",NA,"6.000",NA
"355","1:236824118|236826896",NA,"1.000",NA
"356","1:236857886|236858216",NA,NA,"1.000"
"357","1:237244726|237244988",NA,NA,"1.000"
"358","1:237734506|237734709",NA,NA,"1.000"
"359","1:237898776|237898975",NA,NA,"1.000"
"360","1:23796942|23797107",NA,"3.000",NA
"361","1:238840593|238840783",NA,NA,"1.000"
"362","1:23903841|23904012",NA,"4.000",NA
"363","1:23980538|23980714",NA,"1.000",NA
"364","1:240182274|240182426",NA,"1.000",NA
"365","1:241241207|241241545",NA,NA,"2.000"
"366","1:241920547|242012912",NA,NA,"2.000"
"367","1:242298535|242298694",NA,NA,"1.000"
"368","1:242369432|242369634",NA,NA,"1.000"
"369","1:242817683|242817838","1.000",NA,NA
"370","1:243293090|243330692",NA,"1.000",NA
"371","1:243378720|243418076",NA,"3.000",NA
"372","1:24440171|24445244",NA,"5.000",NA
"373","1:24441379|24441666",NA,NA,"2.000"
"374","1:244735080|244735217",NA,NA,"1.000"
"375","1:244989113|245017326",NA,"5.000",NA
"376","1:245056142|245056418",NA,"2.000",NA
"377","1:24514313|24514567",NA,"1.000",NA
"378","1:24531217|24533254",NA,NA,"1.000"
"379","1:245345289|245345429",NA,"2.000",NA
"380","1:245915529|245929937",NA,"3.000",NA
"381","1:246126295|246126444",NA,NA,"2.000"
"382","1:246613672|246613813",NA,"2.000",NA
"383","1:247138715|247159813",NA,NA,"2.000"
"384","1:247155565|247159813",NA,"2.000","5.000"
"385","1:247156405|247159813","1.000",NA,NA
"386","1:248026044|248026238",NA,NA,"1.000"
"387","1:24882215|24882366",NA,NA,"1.000"
"388","1:248866875|248867015",NA,NA,"1.000"
"389","1:24949693|24949928","1.000",NA,NA
"390","1:25096695|25096900",NA,"3.000",NA
"391","1:25287187|25405614",NA,"2.000","3.000"
"392","1:25351625|25356853",NA,"2.000",NA
"393","1:25802015|25805275",NA,"3.000",NA
"394","1:25982363|25984528",NA,"1.000",NA
"395","1:26119089|26119234",NA,NA,"1.000"
"396","1:26446315|26447660",NA,"7.000","1.000"
"397","1:26446315|26460144",NA,"5.000",NA
"398","1:26457166|26463433",NA,NA,"3.000"
"399","1:26941456|26941818",NA,NA,"4.000"
"400","1:26942659|26943065",NA,NA,"5.000"
"401","1:27113574|27113736",NA,"3.000",NA
"402","1:27194310|27194539",NA,NA,"2.000"
"403","1:27449780|27449930",NA,NA,"2.000"
"404","1:27587820|27588005",NA,NA,"1.000"
"405","1:27789561|27793632",NA,NA,"1.000"
"406","1:28022794|28023080",NA,NA,"1.000"
"407","1:28027788|28042650",NA,"4.000",NA
"408","1:28392484|28392641",NA,NA,"2.000"
"409","1:28476106|28480604",NA,NA,"3.000"
"410","1:28580559|28581229",NA,"6.000",NA
"411","1:28742402|28743986",NA,NA,"1.000"
"412","1:29154695|29154910",NA,"7.000","1.000"
"413","1:29216004|29220919",NA,"4.000",NA
"414","1:29438459|29438608",NA,NA,"1.000"
"415","1:29591576|29591823",NA,"4.000",NA
"416","1:2976421|2977983",NA,"2.000",NA
"417","1:2976438|2976886",NA,"3.000",NA
"418","1:30166419|30166579",NA,NA,"1.000"
"419","1:30322119|30322274","2.000",NA,NA
"420","1:30617151|30617313",NA,NA,"2.000"
"421","1:30945345|30950261",NA,NA,"1.000"
"422","1:30999088|30999225",NA,"3.000",NA
"423","1:31005852|31007102",NA,NA,"4.000"
"424","1:31055312|31059577",NA,"4.000",NA
