"","circ_id","mma1","mma2","mma3"
"499","10:7820797|7862512",5,NA,NA
"500","10:78699843|78700002",8,NA,NA
"501","10:78699906|78700026",NA,NA,16
"502","10:79729708|79730801",6,NA,NA
"503","10:79732737|79739154",8,NA,NA
"504","10:80220407|80261579",NA,24,NA
"505","10:80223842|80229946",13,NA,NA
"506","10:81130930|81132535",4,NA,NA
"507","10:81255046|81272147",4,NA,NA
"508","10:82415705|82431640",3,NA,NA
"509","10:82422265|82431640",3,NA,NA
"510","10:82441230|82441740",NA,NA,40
"511","10:82454341|82506214",2,NA,NA
"512","10:82471338|82490613",6,NA,NA
"513","10:82476890|82506214",NA,NA,48
"514","10:82881303|82887947",NA,30,NA
"515","10:83846281|83846577",2,NA,NA
"516","10:83932589|83952678",7,NA,NA
"517","10:84153088|84168949",3,NA,NA
"518","10:84188874|84189274",7,NA,NA
"519","10:84258637|84264157",4,NA,NA
"520","10:84267942|84273257",NA,NA,19
"521","10:84267942|84275395",4,NA,NA
"522","10:84287142|84289953",NA,69,NA
"523","10:84289855|84294385",6,NA,NA
"524","10:84352519|84374082",5,NA,NA
"525","10:84364806|84365095",NA,NA,45
"526","10:84863024|84867020",2,NA,NA
"527","10:84863024|84869947",2,NA,NA
"528","10:85358713|85361673",NA,NA,26
"529","10:8640218|8656716",7,NA,NA
"530","10:8913734|8974425",43,NA,NA
"531","10:8917562|8978050",NA,NA,63
"532","10:9084405|9084735",19,425,NA
"533","10:9084405|9086709",23,97,NA
"534","10:91540316|91542036",6,NA,NA
"535","10:9285401|9291092",12,NA,NA
"536","10:9411397|9412603",6,NA,NA
"537","10:94161734|94162263",2,NA,NA
"538","10:97266963|97273038",NA,46,NA
"539","10:97437487|97438241",NA,NA,19
"540","10:97451594|97452058",3,NA,NA
"541","10:98403327|98404848",31,NA,29
"542","10:98809957|98815960",10,NA,NA
"543","10:98840703|98841020",10,NA,NA
"544","10:98942862|98944833",NA,NA,29
"545","10:99208859|99243107",8,NA,NA
"546","10:99302216|99302963",NA,NA,37
"547","11:100038847|100041707",13,38,NA
"548","11:101559793|101572528",8,NA,NA
"549","11:101559793|101578134",4,NA,NA
"550","11:10178190|10181248",NA,NA,12
"551","11:101830418|101836645",5,25,NA
"552","11:103685430|103686560",9,NA,NA
"553","11:103685430|103691197",7,NA,NA
"554","11:103690299|103691197",16,NA,NA
"555","11:104053681|104053985",2,NA,NA
"556","11:104285006|104294178",2,NA,NA
"557","11:104479436|104479586",7,NA,NA
"558","11:1047254|1048075",10,NA,21
"559","11:104784146|104784774",28,NA,NA
"560","11:106773579|106773782",NA,38,NA
"561","11:10807384|10807890",4,NA,NA
"562","11:108155556|108160907",2,NA,NA
"563","11:10829423|10831456",4,NA,NA
"564","11:108421662|108422209",3,NA,NA
"565","11:108693924|108696482",NA,10,NA
"566","11:108768048|108768710",9,NA,NA
"567","11:108796961|108801038",19,NA,NA
"568","11:108796961|108805006",16,NA,NA
"569","11:108796961|108828084",NA,NA,43
"570","11:108831968|108865179",NA,NA,42
"571","11:108847130|108852582",3,NA,54
"572","11:108856090|108856393",6,NA,88
"573","11:108861986|108862391",21,68,258
"574","11:108861986|108886791",4,34,NA
"575","11:109448084|109452583",10,NA,NA
"576","11:109587792|109610758",2,NA,NA
"577","11:109989086|109990893",NA,30,NA
"578","11:110135169|110141182",3,NA,NA
"579","11:110192665|110206533",6,NA,NA
"580","11:111137248|111177448",4,NA,NA
"581","11:111176410|111177448",2,NA,NA
"582","11:111180189|111186894",8,NA,NA
"583","11:111338122|111350328",NA,NA,32
"584","11:111343289|111350324",6,NA,NA
"585","11:111343289|111350328",10,NA,NA
"586","11:111770788|111773865",5,NA,NA
"587","11:111889161|111891601",NA,64,NA
"588","11:111923647|111924546",5,NA,NA
"589","11:112026146|112026380",2,NA,NA
"590","11:112817342|112817703",7,NA,NA
"591","11:113099929|113100089",4,NA,NA
"592","11:115742310|115745797",NA,NA,26
"593","11:115819521|115834281",3,NA,NA
"594","11:117783740|117784108",NA,27,NA
"595","11:117821540|117824500",NA,NA,50
"596","11:117925247|118001723",NA,20,NA
"597","11:1192242|1201727",9,55,NA
"598","11:120355572|120355973",8,24,20
"599","11:120592712|120594673",2,NA,NA
"600","11:120687378|120687603",3,NA,NA
"601","11:121061221|121062312",2,NA,NA
"602","11:121664882|121665377",8,NA,NA
"603","11:121670089|121670742",6,NA,NA
"604","11:122068700|122070899",5,NA,NA
"605","11:122188127|122189072",7,NA,23
"606","11:122224248|122224820",6,NA,NA
"607","11:122429746|122432834",10,NA,NA
"608","11:122447957|122475520",NA,NA,32
"609","11:122655709|122676083",NA,NA,29
"610","11:122732335|122732602",4,NA,NA
"611","11:122832636|122833324",NA,NA,49
"612","11:123039278|123050015",2,NA,NA
"613","11:123179169|123185897",2,NA,NA
"614","11:123190391|123202771",4,NA,NA
"615","11:123476124|123479781",8,40,38
"616","11:123564185|123590378",4,NA,NA
"617","11:123910018|123910186",28,NA,NA
"618","11:123910018|123910354",15,NA,NA
"619","11:124265117|124275896",NA,NA,14
"620","11:124321803|124332273",6,NA,NA
"621","11:124698981|124728842",6,NA,NA
"622","11:124722156|124728842",NA,NA,63
"623","11:124831028|124831256",8,NA,NA
"624","11:124831028|124831484",28,NA,58
"625","11:124831256|124831484",38,NA,NA
"626","11:124885823|124887674",NA,NA,23
"627","11:127386498|127391452",NA,70,NA
"628","11:128656188|128673148",25,NA,NA
"629","11:128739324|128766145",8,NA,NA
"630","11:131578283|131616054",NA,NA,14
"631","11:131866039|131866265",7,NA,NA
"632","11:131945202|131975069",9,NA,NA
"633","11:131949357|131955748",31,106,31
"634","11:13231045|13231210",12,NA,NA
"635","11:13245131|13261460",NA,NA,11
"636","11:132678304|132679857",NA,NA,34
"637","11:13623751|13624145",7,NA,NA
"638","11:13736900|13743986",2,NA,NA
"639","11:13860681|13874963",2,NA,NA
